Home Team,Away Team,Competition,Venue,Home,Away,Win/Loss/Draw
Man Utd,Fulham,Premier League,"Old Trafford, Manchester",2,1,W
Man Utd,Chelsea,Premier League,"Old Trafford, Manchester",4,1,W
Bournemouth,Man Utd,Premier League,"Vitality Stadium, Bournemouth",0,1,W
Man Utd,Wolves,Premier League,"Old Trafford, Manchester",2,0,W
West Ham,Man Utd,Premier League,"London Stadium, London",1,0,L
Brighton,Man Utd,Premier League,"Amex Stadium, Falmer",1,0,L
Man Utd,Aston Villa,Premier League,"Old Trafford, Manchester",1,0,W
Spurs,Man Utd,Premier League,"Tottenham Hotspur Stadium, London",2,2,D
Nott'm Forest,Man Utd,Premier League,"The City Ground, Nottingham",0,2,W
Man Utd,Everton,Premier League,"Old Trafford, Manchester",2,0,W
Man Utd,Brentford,Premier League,"Old Trafford, Manchester",1,0,W
Newcastle,Man Utd,Premier League,"St. James' Park, Newcastle",2,0,L
Man Utd,Southampton,Premier League,"Old Trafford, Manchester",0,0,D
Liverpool,Man Utd,Premier League,"Anfield, Liverpool",7,0,L
Man Utd,Leicester,Premier League,"Old Trafford, Manchester",3,0,W
Leeds,Man Utd,Premier League,"Elland Road, Leeds",0,2,W
Man Utd,Leeds,Premier League,"Old Trafford, Manchester",2,2,D
Man Utd,Crystal Palace,Premier League,"Old Trafford, Manchester",2,1,W
Arsenal,Man Utd,Premier League,"Emirates Stadium, London",3,2,L
Crystal Palace,Man Utd,Premier League,"Selhurst Park, London",1,1,D
Man Utd,Man City,Premier League,"Old Trafford, Manchester",2,1,W
Man Utd,Bournemouth,Premier League,"Old Trafford, Manchester",3,0,W
Wolves,Man Utd,Premier League,"Molineux Stadium, Wolverhampton",0,1,W
Man Utd,Nott'm Forest,Premier League,"Old Trafford, Manchester",3,0,W
Fulham,Man Utd,Premier League,"Craven Cottage, London",1,2,W
Aston Villa,Man Utd,Premier League,"Villa Park, Birmingham",3,1,L
Man Utd,West Ham,Premier League,"Old Trafford, Manchester",1,0,W
Chelsea,Man Utd,Premier League,"Stamford Bridge, London",1,1,D
Man Utd,Spurs,Premier League,"Old Trafford, Manchester",2,0,W
Man Utd,Newcastle,Premier League,"Old Trafford, Manchester",0,0,D
Everton,Man Utd,Premier League,"Goodison Park, Liverpool",1,2,W
Man City,Man Utd,Premier League,"Etihad Stadium, Manchester",6,3,L
Man Utd,Arsenal,Premier League,"Old Trafford, Manchester",3,1,W
Leicester,Man Utd,Premier League,"King Power Stadium, Leicester",0,1,W
Southampton,Man Utd,Premier League,"St. Mary's Stadium, Southampton",0,1,W
Man Utd,Liverpool,Premier League,"Old Trafford, Manchester",2,1,W
Brentford,Man Utd,Premier League,"Gtech Community Stadium, Brentford",4,0,L
Man Utd,Brighton,Premier League,"Old Trafford, Manchester",1,2,L
Man City,Man Utd,FA Cup,"Wembley Stadium, London",2,1,L
Brighton,Man Utd,FA Cup,"Wembley Stadium, London",0,0,D
Sevilla,Man Utd,UEFA Europa League,"Ramón Sánchez-Pizjuán, Sevilla",3,0,L
Man Utd,Sevilla,UEFA Europa League,"Old Trafford, Manchester",2,2,D
Man Utd,Fulham,FA Cup,"Old Trafford, Manchester",3,1,W
Betis,Man Utd,UEFA Europa League,"Benito Villamarín, Sevilla",0,1,W
Man Utd,Betis,UEFA Europa League,"Old Trafford, Manchester",4,1,W
Man Utd,West Ham,FA Cup,"Old Trafford, Manchester",3,1,W
Man Utd,Barcelona,UEFA Europa League,"Old Trafford, Manchester",2,1,W
Barcelona,Man Utd,UEFA Europa League,"Spotify Camp Nou, Barcelona",2,2,D
Man Utd,Reading,FA Cup,"Old Trafford, Manchester",3,1,W
Man Utd,Everton,FA Cup,"Old Trafford, Manchester",3,1,W
Real Sociedad,Man Utd,UEFA Europa League,"Reale Arena, San Sebastián",0,1,W
Man Utd,Sheriff Tiraspol,UEFA Europa League,"Old Trafford, Manchester",3,0,W
Man Utd,Omonia Nicosia,UEFA Europa League,"Old Trafford, Manchester",1,0,W
Omonia Nicosia,Man Utd,UEFA Europa League,"GSP Stadium, Nicosia",2,3,W
Sheriff Tiraspol,Man Utd,UEFA Europa League,"Stadionul Zimbru, Chisinau",0,2,W
Man Utd,Real Sociedad,UEFA Europa League,"Old Trafford, Manchester",0,1,L
