Home Team,Away Team,Competition,Venue,Score,Home,Away
Man City,Man Utd,FA Cup,"Wembley Stadium, London","2
-
1",2,1
Brighton,Man Utd,FA Cup,"Wembley Stadium, London","0
-
0",0,0
Sevilla,Man Utd,UEFA Europa League,"Ramón Sánchez-Pizjuán, Sevilla","3
-
0",3,0
Man Utd,Sevilla,UEFA Europa League,"Old Trafford, Manchester","2
-
2",2,2
Man Utd,Fulham,FA Cup,"Old Trafford, Manchester","3
-
1",3,1
Betis,Man Utd,UEFA Europa League,"Benito Villamarín, Sevilla","0
-
1",0,1
Man Utd,Betis,UEFA Europa League,"Old Trafford, Manchester","4
-
1",4,1
Man Utd,West Ham,FA Cup,"Old Trafford, Manchester","3
-
1",3,1
Man Utd,Barcelona,UEFA Europa League,"Old Trafford, Manchester","2
-
1",2,1
Barcelona,Man Utd,UEFA Europa League,"Spotify Camp Nou, Barcelona","2
-
2",2,2
Man Utd,Reading,FA Cup,"Old Trafford, Manchester","3
-
1",3,1
Man Utd,Everton,FA Cup,"Old Trafford, Manchester","3
-
1",3,1
Real Sociedad,Man Utd,UEFA Europa League,"Reale Arena, San Sebastián","0
-
1",0,1
Man Utd,Sheriff Tiraspol,UEFA Europa League,"Old Trafford, Manchester","3
-
0",3,0
Man Utd,Omonia Nicosia,UEFA Europa League,"Old Trafford, Manchester","1
-
0",1,0
Omonia Nicosia,Man Utd,UEFA Europa League,"GSP Stadium, Nicosia","2
-
3",2,3
Sheriff Tiraspol,Man Utd,UEFA Europa League,"Stadionul Zimbru, Chisinau","0
-
2",0,2
Man Utd,Real Sociedad,UEFA Europa League,"Old Trafford, Manchester","0
-
1",0,1
