Season,LeaguePosition,Manager,TopGoalscorer,Score
2022/23,3,Erik ten Hag,Marcus Rashford ,17
2021/22,6,Michael Carrick,Cristiano Ronaldo ,18
2020/21,2,Ole Gunnar Solskjær,Bruno Fernandes ,18
2019/20,3,Ole Gunnar Solskjær,Anthony Martial ,17
2018/19,6,José  Mourinho ,Paul Pogba ,13
2017/18,2,José  Mourinho ,Romelu Lukaku ,16
2016/17,6,José  Mourinho ,Zlatan Ibrahimovic ,17
2015/16,5,Louis van Gaal,Anthony Martial ,11
2014/15,4,Louis van Gaal,Wayne Rooney ,12
2013/14,7,Ryan Giggs,Wayne Rooney ,17
2012/13 ,1,Alex Ferguson,Robin van Persie ,26
2011/12,2,Alex Ferguson,Wayne Rooney ,27
2010/11 ,1,Alex Ferguson,Dimitar Berbatov ,20
2009/10,2,Alex Ferguson,Wayne Rooney ,26
2008/09 ,1,Alex Ferguson,Cristiano Ronaldo ,18
2007/08 ,1,Alex Ferguson,Cristiano Ronaldo ,31
2006/07 ,1,Alex Ferguson,Cristiano Ronaldo ,17
2005/06,2,Alex Ferguson,Ruud van Nistelrooij ,21
2004/05,3,Alex Ferguson,Wayne Rooney ,11
2003/04,3,Alex Ferguson,Ruud van Nistelrooij ,20
2002/03 ,1,Alex Ferguson,Ruud van Nistelrooij ,25
2001/02,3,Alex Ferguson,Ruud van Nistelrooij ,23
2000/01 ,1,Alex Ferguson,Teddy Sheringham ,15
1999/00 ,1,Alex Ferguson,Dwight Yorke ,20
1998/99 ,1,Alex Ferguson,Dwight Yorke ,18
1997/98,2,Alex Ferguson,Andrew Cole ,15
1996/97 ,1,Alex Ferguson,Ole Gunnar Solskjaer ,18
1995/96 ,1,Alex Ferguson,Eric Cantona ,14
1994/95,2,Alex Ferguson,Andrei Kanchelskis ,14
1993/94 ,1,Alex Ferguson,Eric Cantona ,18
1992/93 ,1,Alex Ferguson,Mark Hughes ,15
