Home Team,Away Team,Competition,Venue,Home,Away
Man Utd,Fulham,Premier League,"Old Trafford, Manchester",2,1
Man Utd,Chelsea,Premier League,"Old Trafford, Manchester",4,1
Bournemouth,Man Utd,Premier League,"Vitality Stadium, Bournemouth",0,1
Man Utd,Wolves,Premier League,"Old Trafford, Manchester",2,0
West Ham,Man Utd,Premier League,"London Stadium, London",1,0
Brighton,Man Utd,Premier League,"Amex Stadium, Falmer",1,0
Man Utd,Aston Villa,Premier League,"Old Trafford, Manchester",1,0
Spurs,Man Utd,Premier League,"Tottenham Hotspur Stadium, London",2,2
Nott'm Forest,Man Utd,Premier League,"The City Ground, Nottingham",0,2
Man Utd,Everton,Premier League,"Old Trafford, Manchester",2,0
Man Utd,Brentford,Premier League,"Old Trafford, Manchester",1,0
Newcastle,Man Utd,Premier League,"St. James' Park, Newcastle",2,0
Man Utd,Southampton,Premier League,"Old Trafford, Manchester",0,0
Liverpool,Man Utd,Premier League,"Anfield, Liverpool",7,0
Man Utd,Leicester,Premier League,"Old Trafford, Manchester",3,0
Leeds,Man Utd,Premier League,"Elland Road, Leeds",0,2
Man Utd,Leeds,Premier League,"Old Trafford, Manchester",2,2
Man Utd,Crystal Palace,Premier League,"Old Trafford, Manchester",2,1
Arsenal,Man Utd,Premier League,"Emirates Stadium, London",3,2
Crystal Palace,Man Utd,Premier League,"Selhurst Park, London",1,1
Man Utd,Man City,Premier League,"Old Trafford, Manchester",2,1
Man Utd,Bournemouth,Premier League,"Old Trafford, Manchester",3,0
Wolves,Man Utd,Premier League,"Molineux Stadium, Wolverhampton",0,1
Man Utd,Nott'm Forest,Premier League,"Old Trafford, Manchester",3,0
Fulham,Man Utd,Premier League,"Craven Cottage, London",1,2
Aston Villa,Man Utd,Premier League,"Villa Park, Birmingham",3,1
Man Utd,West Ham,Premier League,"Old Trafford, Manchester",1,0
Chelsea,Man Utd,Premier League,"Stamford Bridge, London",1,1
Man Utd,Spurs,Premier League,"Old Trafford, Manchester",2,0
Man Utd,Newcastle,Premier League,"Old Trafford, Manchester",0,0
Everton,Man Utd,Premier League,"Goodison Park, Liverpool",1,2
Man City,Man Utd,Premier League,"Etihad Stadium, Manchester",6,3
Man Utd,Arsenal,Premier League,"Old Trafford, Manchester",3,1
Leicester,Man Utd,Premier League,"King Power Stadium, Leicester",0,1
Southampton,Man Utd,Premier League,"St. Mary's Stadium, Southampton",0,1
Man Utd,Liverpool,Premier League,"Old Trafford, Manchester",2,1
Brentford,Man Utd,Premier League,"Gtech Community Stadium, Brentford",4,0
Man Utd,Brighton,Premier League,"Old Trafford, Manchester",1,2
